,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate,Biomass concentration (dry weight),Time of processing,BatchID,Data set,Type
8#180,0.4537981,0.000399936,-0.03336623,0.03550101,0.4172896,0.6458852,0.08879325,8.858019,5.454611,9.138059,28.87763,8,Calibration,NOC
8#181,-0.1664279,-0.000343253,0.002268976,0.03290281,0.4424694,0.6479928,0.08862896,8.688309,4.769496,9.190074,28.915,8,Calibration,NOC
8#182,0.06493688,-0.000764313,-0.000796652,0.03092153,0.2715219,0.6444831,0.08869851,8.157757,5.036152,9.126347,28.95237,8,Calibration,NOC
8#183,0.7826893,0.000490185,-0.03975268,0.02647144,0.5228001,0.6487862,0.08864239,7.552287,4.430165,9.095803,28.98974,8,Calibration,NOC
8#184,-1.49E-01,-0.000201081,0.005379254,0.02062293,0.2892395,0.6515126,0.0886364,5.786735,3.647127,9.118424,29.08256,8,Calibration,NOC
8#185,0.5560682,7.64E-05,-0.03334118,0.0130883,0.271715,0.6490495,0.08753133,4.066005,2.672202,9.236615,29.17537,8,Calibration,NOC
8#186,-0.3392898,-0.0003427,0.008676738,0.007611141,-0.1883489,0.6503071,0.08737776,2.658347,1.4561,9.19288,29.26818,8,Calibration,NOC
8#187,2.84E-01,0.000711308,-0.008036712,0.007864994,0.03006358,0.6531993,0.08747913,1.696273,0.5370181,9.225354,29.361,8,Calibration,NOC
8#188,-0.4968006,4.65E-05,0.02521666,0.002668285,0.1504422,0.650117,0.08667449,1.03702,0.3101093,9.276834,29.4928,8,Calibration,NOC
8#189,-0.06145464,-0.000356315,0.05846886,0.002645626,0.001096166,0.6538481,0.08744817,0.5166169,0.5696458,9.185792,29.59878,8,Calibration,NOC
8#190,-0.1754318,0.00040074,0.03955697,-0.000660288,0.130107,0.6510267,0.08582038,0.01021415,0.2478103,9.229368,29.70476,8,Calibration,NOC
8#191,0.2801603,-0.000597558,0.004446093,0.003115976,-0.06974804,0.6533542,0.08545738,-0.07086814,0.6596704,9.338077,29.81074,8,Calibration,NOC
8#192,-0.8369385,0.000599482,0.009402885,-0.001181012,0.1799442,0.6498554,0.08604207,0.2463699,0.1203683,9.253991,29.91672,8,Calibration,NOC
8#193,-0.3328379,-0.000636422,-0.004800858,-0.001749601,0.1803027,0.6511542,0.08540109,0.03478771,-0.3132378,9.214979,30.06292,8,Calibration,NOC
8#194,-0.3301676,-0.000883816,-0.009799642,0.000890829,-0.1369705,0.6489353,0.08511798,0.01233829,-0.05939873,9.307608,30.20912,8,Calibration,NOC
8#195,0.2920136,-0.000252344,-0.02021673,0.000426273,0.09048524,0.6557468,0.08522008,0.02275016,-0.1682202,9.262247,30.35533,8,Calibration,NOC
8#196,-0.07935338,-0.000233668,-0.007865405,0.000535099,-0.02648309,0.6471888,0.08460772,-0.1933291,0.2611405,9.21531,30.50153,8,Calibration,NOC
8#197,-2.49E-01,0.000442645,0.04742526,0.00057635,0.278201,0.6418937,0.08372128,-0.06747196,0.5145174,9.257671,31.20153,8,Calibration,NOC
8#198,-0.6009682,2.51E-05,-0.008651678,0.001124653,0.1708674,0.6521463,0.0834773,0.1566454,-0.03953003,9.180123,31.41153,8,Calibration,NOC
8#199,0.5775684,0.000102441,0.007563449,0.001949731,-0.1624206,0.6440925,0.08312563,-0.05586288,-0.2443608,9.254841,31.62153,8,Calibration,NOC
8#200,-0.09737115,0.000619892,-0.01362489,0.000736988,-0.3196264,0.6453882,0.08388265,-0.01161331,0.3750538,9.389791,31.68453,8,Calibration,NOC
8#201,0.06139953,0.000262958,0.000818005,0.000924719,-0.09643128,0.6521697,0.08267789,-0.06352683,-0.1736675,9.125157,31.74753,8,Calibration,NOC
8#202,0.0363299,0.000242043,0.02202821,-0.00144575,0.00314452,0.6531304,0.08255583,0.1365575,-0.05083742,9.24868,31.81053,8,Calibration,NOC
8#203,0.4370512,-0.000224502,-0.01721893,0.000416925,-0.01465033,0.6492077,0.08307237,-0.01144963,-0.3949713,9.213217,32.27482,8,Calibration,NOC
8#204,0.08130084,-0.000694265,0.02181997,0.000906183,-0.244913,0.6519262,0.08148768,-0.03568196,0.1258974,9.283049,32.73911,8,Calibration,NOC
8#205,-0.301164,0.000724139,-0.02057084,0.000345639,0.1314243,0.6505333,0.08070453,-0.07523299,0.3152108,9.258121,33.2034,8,Calibration,NOC
8#206,0.2330456,-0.000192405,0.01447503,-0.000650351,-0.09737193,0.6523266,0.07933303,-0.2307758,-0.8971694,9.272109,33.9034,8,Calibration,NOC
8#207,-0.1019947,-0.000112312,-0.03995259,-0.000129052,0.1028516,0.6485595,0.07805709,0.05186289,0.1562711,9.302641,34.6034,8,Calibration,NOC
8#208,0.006169858,0.001206455,0.0120988,-0.000579009,-0.1108618,0.6488545,0.0769482,-0.03133078,0.08980171,9.404706,35,8,Calibration,NOC
9#18,30.59196,0.009811417,-0.009323023,-0.000881815,-0.2000064,0.4093701,0.004992158,6.894249,3.634192,-0.1122041,5.376132,9,Calibration,NOC
9#19,30.03743,0.01007222,0.006924289,0.000837101,-0.2283578,0.4263973,0.004663924,7.095584,4.251361,-0.02419715,5.713946,9,Calibration,NOC
9#20,30.54688,0.0127461,-0.009865119,-0.00135109,0.1543182,0.4401269,0.00474543,7.286119,4.908983,-0.0425792,6.05176,9,Calibration,NOC
9#21,29.89152,0.01424908,0.01708122,-0.00123662,0.1026363,0.4619125,0.003851289,7.483012,5.877138,0.01572059,6.389574,9,Calibration,NOC
9#22,29.92259,0.01661688,-0.01615174,0.001661202,-0.07409664,0.4697161,0.004503149,7.62842,8.036773,0.01947148,6.727388,9,Calibration,NOC
9#23,30.15806,0.017909,-0.008091943,-0.000508949,0.1170224,0.4766107,0.00502656,7.594451,9.240773,-0.06880935,6.989635,9,Calibration,NOC
9#24,29.73514,0.01951325,-0.002906264,0.000309066,0.1230555,0.4842347,0.005192162,7.833355,10.60745,-0.03889029,7.251883,9,Calibration,NOC
9#25,30.01205,0.02087513,0.002956129,0.001384601,-0.04094131,0.4906701,0.004358487,7.238373,12.24225,-0.03263411,7.51413,9,Calibration,NOC
9#26,29.657,0.02099424,0.04727272,0.001143043,0.1168574,0.4961132,0.004229625,7.302085,13.15132,0.06778754,7.776377,9,Calibration,NOC
9#27,30.04116,0.02200716,0.02250352,0.001657123,0.05015198,0.5025775,0.004105989,7.06175,14.45605,0.03446226,8.038625,9,Calibration,NOC
9#28,30.10225,0.02214693,0.000149134,0.002551081,-0.07402615,0.5083573,0.003547604,6.932899,14.81546,0.004500836,8.300872,9,Calibration,NOC
9#29,30.27419,0.02288538,-0.02311363,0.000192119,0.05594317,0.5142716,0.00436843,6.533593,15.78901,0.09640173,8.619372,9,Calibration,NOC
9#30,30.02933,0.02359703,0.02396163,0.001294661,-0.004017215,0.5149708,0.005023806,6.271502,16.38423,0.05386904,8.937874,9,Calibration,NOC
9#31,29.54624,0.02413875,1.84E-02,0.00092792,0.1232431,0.522783,0.004694349,6.074586,17.42702,-0.05679781,9.256375,9,Calibration,NOC
9#32,29.2005,0.02423448,-0.02760022,5.75E-05,-0.08021192,0.5238668,0.004322571,6.072137,18.07191,0.2140076,9.574876,9,Calibration,NOC
9#33,30.32212,0.02456108,0.03469093,0.002406676,-0.07240798,0.5320853,0.006047642,5.546653,18.75167,0.1082741,9.893377,9,Calibration,NOC
9#34,30.09363,0.02465517,0.02275654,0.001491834,-0.01051777,0.5302312,0.00384679,5.660751,19.60851,0.08682509,10.21188,9,Calibration,NOC
9#35,30.34363,0.02501381,0.04108376,0.001988041,0.2040017,0.536287,0.004880872,5.248735,19.21517,-0.06059278,10.74495,9,Calibration,NOC
9#36,30.20084,0.02582454,0.06687496,0.002513469,0.02765805,0.5366323,0.004056173,5.087418,20.40413,-0.00231357,11.27802,9,Calibration,NOC
9#37,29.34164,0.02627723,0.03378004,0.002975442,-0.021281,0.5417656,0.004194635,5.175444,21.56657,0.159757,11.8111,9,Calibration,NOC
9#38,29.276,0.02620753,0.09697194,0.004067321,0.04576756,0.5436717,0.004320923,5.06756,22.28442,0.08495476,12.34417,9,Calibration,NOC
9#39,28.94296,0.02726462,0.03175045,0.007521431,0.2829017,0.5398328,0.004842179,5.15117,23.14426,0.08978488,12.87724,9,Calibration,NOC
9#40,27.89652,0.02846876,0.08484351,0.006858046,0.2057821,0.5398872,0.00448458,5.265534,24.35026,0.2074214,13.41031,9,Calibration,NOC
9#41,28.24791,0.02929474,0.1019667,0.008738386,0.3507723,0.5479106,0.004844769,5.378926,26.75316,0.328737,13.94339,9,Calibration,NOC
9#42,28.4731,0.03088714,0.07636121,0.01184008,0.5409759,0.5434911,0.003339221,5.734055,27.82414,0.3589115,14.59059,9,Calibration,NOC
9#43,28.09394,0.03261083,0.1149475,0.01578525,1.042861,0.5485278,0.004817173,6.04742,30.01496,0.5852521,15.23778,9,Calibration,NOC
9#44,26.29787,0.03407368,0.1996394,0.02361017,1.375943,0.541548,0.003789349,6.361012,31.0113,0.8991601,15.88498,9,Calibration,NOC
9#45,23.70199,0.03646761,0.3054432,0.0290237,2.003661,0.5443535,0.004238098,6.817873,32.99678,1.14693,16.53218,9,Calibration,NOC
9#46,20.86439,0.03681957,0.530065,0.03706457,2.942303,0.5467551,0.0036767,7.028223,33.46767,1.61297,17.17938,9,Calibration,NOC
9#47,16.82469,0.03786018,0.7269764,0.0495432,4.150638,0.5453215,0.004171458,7.52652,34.40895,2.056427,17.82658,9,Calibration,NOC
9#48,12.45961,0.0374286,0.9989852,0.06579049,5.95774,0.5463722,0.005197366,8.28294,35.68913,2.710158,18.47378,9,Calibration,NOC
9#49,10.33437,0.03770994,1.181636,0.07140843,6.378364,0.5419104,0.004245877,8.571074,35.16054,2.955918,18.66794,9,Calibration,NOC
9#50,7.993691,0.03728668,1.253804,0.07714743,7.088565,0.5480994,0.003818361,8.907359,35.53616,3.385514,18.8621,9,Calibration,NOC
9#51,6.077371,0.03741886,1.401075,0.08828342,7.937675,0.545297,0.004919859,9.450522,35.92345,3.596085,19.05626,9,Calibration,NOC
9#52,4.243827,0.0357971,1.476339,0.09261237,8.508659,0.5510881,0.003609737,10.00786,36.69817,3.921702,19.21336,9,Calibration,NOC
9#53,1.509089,0.03465691,1.553224,0.09974232,9.292149,0.5505474,0.004775635,10.73756,35.35343,4.237583,19.37046,9,Calibration,NOC
9#54,0.712175,0.03197367,1.550505,0.1016466,9.472821,0.5464192,0.003867701,10.43916,35.02792,4.179387,19.41759,9,Calibration,NOC
9#55,0.4997703,0.03073345,1.56903,0.1051696,9.697021,0.5432154,0.004866276,10.26741,34.41417,4.464245,19.46472,9,Calibration,NOC
9#56,0.8340997,0.0302506,1.567455,0.1029341,9.804696,0.5452723,0.004911185,9.696021,33.11739,4.51895,19.47886,9,Calibration,NOC
9#57,-0.597675,0.028059,1.591466,0.1024417,9.787599,0.5425965,0.003987532,9.447783,31.77826,4.508245,19.49299,9,Calibration,NOC
9#58,0.4572,0.02799672,1.559445,0.1047772,9.754189,0.5443535,0.005100958,8.853702,31.41564,4.484254,19.49724,9,Calibration,NOC
9#59,-0.1017745,0.02875356,1.557832,0.1042876,9.904302,0.5448794,0.004104546,8.776795,30.97138,4.433038,19.50148,9,Calibration,NOC
9#60,0.1850683,0.02645328,1.54165,0.1042493,10.02403,0.5458528,0.003867378,8.012854,29.06345,4.593023,19.50572,9,Calibration,NOC
9#61,0.3834621,0.02531401,1.572901,0.1049717,10.02283,0.5436869,0.003399915,7.352758,27.99407,4.440016,19.50699,9,Calibration,NOC
9#62,0.5999511,0.02516065,1.578371,0.1053094,9.784226,0.542438,0.004302236,6.43473,28.02859,4.45351,19.50826,9,Calibration,NOC
9#63,-0.242602,0.02365418,1.482913,0.1044926,9.678558,0.5462968,0.004094236,5.021626,25.43094,4.471826,19.50954,9,Calibration,NOC
9#64,-1.102751,0.019589,1.551918,0.103875,10.03627,0.5433147,0.004382544,3.90468,23.9126,4.598985,19.51081,9,Calibration,NOC
9#65,0.2482911,0.01807252,1.501959,0.101788,10.04684,0.5490012,0.004874367,4.231046,23.12215,4.42319,19.5112,9,Calibration,NOC
9#66,0.2479276,0.01702699,1.565731,0.1033281,9.889656,0.5412118,0.005702625,4.237332,22.30149,4.499404,19.5116,9,Calibration,NOC
9#67,0.169667,0.01634059,1.537283,0.1012829,9.89536,0.5482161,0.004718038,4.589757,21.08896,4.493856,19.51199,9,Calibration,NOC
9#68,-0.01302814,0.01465019,1.495192,0.1011825,9.926556,0.5440807,0.005610354,4.588603,21.03928,4.493274,19.51238,9,Calibration,NOC
9#69,0.4736304,0.01403375,1.579997,0.1006092,9.903571,0.543905,0.005106366,4.48063,19.8565,4.448386,19.51277,9,Calibration,NOC
9#70,0.2389121,0.01289685,1.532003,0.1005404,10.09857,0.5464596,0.00377387,4.583919,19.24523,4.467612,19.51317,9,Calibration,NOC
9#71,-0.7434001,0.01236475,1.559904,0.09731202,10.01979,0.5482925,0.005191817,4.464667,18.89459,4.483209,19.51383,9,Calibration,NOC
9#72,0.1885492,0.01234795,1.505851,0.0966834,9.721828,0.5435537,0.004735361,4.587475,18.81497,4.51509,19.51389,9,Calibration,NOC
9#73,-0.329065,0.01211842,1.545105,0.09783042,9.860958,0.5447297,0.004193083,4.411163,19.06075,4.526917,19.51395,9,Calibration,NOC
9#74,-0.2908687,0.01225701,1.55293,0.09702052,10.05649,0.5436257,0.004971025,4.693505,18.59612,4.578341,19.51401,9,Calibration,NOC
9#75,-0.4839705,0.01157595,1.569057,0.09767868,9.95452,0.5432642,0.003878592,4.363152,19.29418,4.492113,19.51407,9,Calibration,NOC
9#76,0.361012,0.01138665,1.537287,0.0955247,10.08334,0.5477449,0.004384215,4.350656,19.26233,4.452653,19.51413,9,Calibration,NOC
9#77,-0.04874231,0.009516482,1.55309,0.09834258,10.095,0.5458955,0.004925264,4.761693,18.0415,4.456785,19.51473,9,Calibration,NOC
9#78,0.501941,0.00979019,1.502806,0.09630781,9.633417,0.5445411,0.00455367,4.619527,17.95067,4.573947,19.51533,9,Calibration,NOC
9#79,-0.1074495,0.008571964,1.527535,0.09426201,10.03412,0.5461199,0.005052233,4.372784,18.16533,4.508119,19.51593,9,Calibration,NOC
9#80,-0.000929214,0.008291163,1.547023,0.09479055,9.847288,0.5422847,0.004771131,4.476549,17.13516,4.537423,19.51653,9,Calibration,NOC
9#81,-0.1053902,0.006273205,1.513158,0.09161985,9.937081,0.5489694,0.005810035,4.300334,17.2458,4.48573,19.51792,9,Calibration,NOC
9#82,0.05918351,0.00425724,1.517458,0.08884129,9.997662,0.5441025,0.004471796,4.076484,17.1405,4.402573,19.51931,9,Calibration,NOC
9#83,0.3760843,0.002935084,1.525302,0.08576033,10.00792,0.543497,0.004268684,4.261254,17.06742,4.473158,19.52071,9,Calibration,NOC
9#84,-7.14E-02,0.001280147,1.541319,0.08377907,10.08057,0.5466866,0.005787093,4.029583,17.43936,4.516534,19.5221,9,Calibration,NOC
9#85,3.25E-02,5.82E-05,1.477371,0.08504302,9.726393,0.5492498,0.00545332,3.631944,16.82497,4.474479,19.52252,9,Calibration,NOC
9#86,-1.72E-01,-8.57E-05,1.522873,0.08295134,9.821922,0.5497482,0.005254564,3.889596,16.42972,4.497843,19.52265,9,Calibration,NOC
9#87,-0.3248137,2.14E-05,1.498835,0.08461041,9.921008,0.5423755,0.006518523,3.185587,16.05168,4.464972,19.52277,9,Calibration,NOC
9#88,-0.3356126,-0.000106486,1.470847,0.08411068,10.12976,0.543699,0.004474469,2.346522,15.06755,4.551453,19.5229,9,Calibration,NOC
9#89,0.09372475,-0.000487077,1.476643,0.08328856,10.10767,0.5455039,0.003642947,-1.227922,10.53469,4.563623,19.52302,9,Calibration,NOC
9#90,0.237181,-0.00065959,1.518398,0.08335046,9.997799,0.544296,0.005148682,-3.69602,7.211849,4.553101,19.52315,9,Calibration,NOC
9#91,-0.6456684,0.000288904,1.473754,0.08371882,9.967215,0.5484432,0.00482302,-3.782951,7.771041,4.577299,19.52329,9,Calibration,NOC
9#92,3.72E-02,0.000388984,1.491108,0.08224774,10.127,0.5467994,0.005278287,-3.750853,8.081463,4.445183,19.52342,9,Calibration,NOC
9#93,0.1136736,-3.90E-05,1.497467,0.08185652,9.960972,0.5429245,0.005598554,-3.64602,7.888077,4.656082,19.52356,9,Calibration,NOC
9#94,-0.1556246,-0.000420307,1.482007,0.08304408,10.1345,0.5492599,0.006252727,-3.852647,7.732054,4.531369,19.5237,9,Calibration,NOC
9#95,0.5128763,-0.000154216,1.458725,0.08013971,9.973044,0.5453622,0.005008811,-3.606494,7.604537,4.509253,19.52473,9,Calibration,NOC
9#96,-0.1943749,0.000202695,1.475631,0.08168218,10.17247,0.5484351,0.003897078,-3.880451,7.891322,4.609003,19.52576,9,Calibration,NOC
9#97,0.6790497,0.000940599,1.504454,0.07921547,9.990722,0.546766,0.004920269,-3.910038,7.775637,4.472411,19.52679,9,Calibration,NOC
9#98,0.3054634,-0.000111513,1.421759,0.06902341,10.04404,0.5465766,0.005000023,-4.236117,6.474964,4.566981,19.53347,9,Calibration,NOC
9#99,0.2488385,0.000433277,1.421657,0.05957657,10.09624,0.5477554,0.004409268,-4.543332,6.412659,4.595541,19.54014,9,Calibration,NOC
9#100,-0.2136731,-0.000864119,1.344712,0.05160659,10.13973,0.5419856,0.005802499,-5.241531,6.159214,4.628785,19.54682,9,Calibration,NOC
9#101,0.3814177,-0.000693922,1.342547,0.04793176,10.0159,0.5453246,0.00578626,-5.408139,5.218958,4.471984,19.5535,9,Calibration,NOC
9#102,0.217552,0.000493539,1.22306,0.02511243,10.31359,0.5434771,0.006359654,-6.690075,3.936928,4.427769,19.57717,9,Calibration,NOC
9#103,0.3739854,0.000277685,1.174466,0.01807877,10.29341,0.5455613,0.005768003,-7.269863,2.685012,4.626627,19.59294,9,Calibration,NOC
9#104,-0.1637782,-0.000250622,1.161341,0.0126637,10.26767,0.5440705,0.00668645,-7.693076,2.200965,4.394009,19.60601,9,Calibration,NOC
9#105,-0.3803719,0.000717153,1.079422,0.01105194,10.35732,0.5450325,0.007611163,-8.037059,2.019012,4.556536,19.61909,9,Calibration,NOC
9#106,-0.04384068,-0.000281646,1.030586,0.006900285,10.49601,0.5468863,0.006857763,-8.139291,1.475077,4.561376,19.63216,9,Calibration,NOC
9#107,-0.7567714,-0.0006607,0.9150053,0.007274201,10.49841,0.5469888,0.006796593,-8.213932,0.9351502,4.576052,19.64524,9,Calibration,NOC
9#108,-0.1602807,0.000255145,0.9325336,0.005570315,10.64478,0.5422363,0.007103611,-7.545664,0.8131059,4.579543,19.66423,9,Calibration,NOC
9#109,-5.38E-01,0.000307087,0.8487259,0.002446712,10.60547,0.5471132,0.007820009,-7.33472,1.408172,4.410858,19.68322,9,Calibration,NOC
9#110,0.5250062,-9.89E-05,0.7553205,0.001670299,10.62388,0.54627,0.008070993,-7.05451,0.3622152,4.584491,19.70222,9,Calibration,NOC
9#111,0.1052141,0.000241328,0.709444,0.004401291,10.78865,0.5408484,0.009477888,-6.6196,0.6141399,4.476794,19.72121,9,Calibration,NOC
9#112,1.01E-01,0.000340132,0.6162695,0.005473064,10.78272,0.5476993,0.009397969,-6.101451,0.9740016,4.538567,19.74021,9,Calibration,NOC
9#113,-0.08039337,-7.62E-05,0.5821792,0.003830208,10.76951,0.5391413,0.01008509,-5.023704,0.884912,4.754051,19.77127,9,Calibration,NOC
9#114,8.40E-01,-0.000593991,0.516026,0.005976322,10.90163,0.5381227,0.009831075,-4.353763,0.6826859,4.587438,19.80234,9,Calibration,NOC
9#115,0.06609838,-8.84E-05,0.4375109,0.003597112,11.08819,0.544735,0.01028344,-3.549448,0.8742279,4.571416,19.83341,9,Calibration,NOC
9#116,-0.3540969,0.000449995,0.3798498,0.005744256,10.96907,0.544875,0.01136346,-2.918628,0.4764062,4.460065,19.86448,9,Calibration,NOC
9#117,0.3308797,0.000777552,0.3504479,0.008521426,11.26464,0.5438376,0.0117917,-2.085513,0.2393458,4.596894,19.89554,9,Calibration,NOC
9#118,-0.2745304,0.000159453,0.2800447,0.006872959,11.29089,0.5394399,0.01328868,-0.7268309,1.728913,4.489912,19.97151,9,Calibration,NOC
9#119,-0.09464575,0.000256018,0.1885567,0.005767308,11.2022,0.5394082,0.01437255,0.7501764,1.794693,4.557094,20.04747,9,Calibration,NOC
9#120,-0.1387035,-0.000268079,0.1706165,0.007671777,11.2021,0.5375715,0.01608861,1.39255,2.113065,4.520815,20.12343,9,Calibration,NOC
9#121,-0.763753,-0.000250672,0.1639254,0.009595335,11.22775,0.5324265,0.0174839,1.937432,1.307753,4.550891,20.19939,9,Calibration,NOC
9#122,-9.50E-02,0.000651989,0.1062711,0.007325551,11.18519,0.5358768,0.01802431,2.194287,2.081968,4.535633,20.27536,9,Calibration,NOC
9#123,0.905127,-8.66E-05,0.1404162,0.009005828,11.1747,0.5351651,0.01997637,2.452705,1.336162,4.514273,20.36717,9,Calibration,NOC
9#124,0.1065661,0.000150083,0.1087655,0.009584401,11.25943,0.5372233,0.02150511,2.819011,2.501957,4.530878,20.45898,9,Calibration,NOC
9#125,-5.74E-01,-0.000422836,0.09238125,0.01126554,10.91814,0.5341639,0.02423927,3.088596,2.044152,4.670816,20.55079,9,Calibration,NOC
9#126,0.8566496,7.89E-05,0.1656269,0.01296071,11.19698,0.5278333,0.02478867,3.262631,2.356771,4.619975,20.6426,9,Calibration,NOC
9#127,-3.59E-01,0.000561009,0.05920101,0.0134087,11.1868,0.5276377,0.02763477,3.499743,1.241629,4.679177,20.73442,9,Calibration,NOC
9#128,0.6200916,-7.82E-05,0.1134351,0.01439246,11.22762,0.5302144,0.03105438,3.882611,2.453836,4.640846,20.93159,9,Calibration,NOC
9#129,0.4205469,-0.000185283,0.07893504,0.01847191,10.8534,0.5285205,0.03321763,4.319881,3.26056,4.632068,21.12877,9,Calibration,NOC
9#130,0.0997516,0.000457777,0.08621091,0.01978366,10.91527,0.5228993,0.03633515,4.779291,2.747994,4.663734,21.32595,9,Calibration,NOC
9#131,0.1080184,0.001123883,0.07146063,0.019658,10.86051,0.5210671,0.04046221,5.119196,2.639452,4.688401,21.52312,9,Calibration,NOC
9#132,-0.1682961,0.000536166,0.1089994,0.03040906,10.5239,0.527777,0.05061711,6.786249,4.116943,4.84983,22.22313,9,Calibration,NOC
9#133,0.597729,0.000257821,0.04842971,0.03768835,9.804159,0.5273212,0.06090251,7.957879,4.69059,5.038162,22.92312,9,Calibration,NOC
9#134,0.6467947,-0.000474371,0.003423251,0.04461657,9.422325,0.533895,0.06839978,9.286452,4.864885,5.314809,23.62313,9,Calibration,NOC
9#135,-3.58E-01,-0.000567772,0.03503226,0.0525995,8.490586,0.5405254,0.07537425,10.21106,5.747133,5.412027,24.32313,9,Calibration,NOC
9#136,0.03063699,-3.20E-05,0.008215204,0.06233215,7.802852,0.5537099,0.08133731,11.07882,6.179847,5.664829,25.02312,9,Calibration,NOC
9#137,-0.4559127,0.000270814,0.07096159,0.06756804,6.889201,0.5654229,0.08669464,12.22791,7.060181,6.00928,25.72313,9,Calibration,NOC
9#138,0.2414404,0.000178041,0.05664678,0.07104048,5.906008,0.5780957,0.09005947,12.85399,7.794299,6.543765,26.42312,9,Calibration,NOC
9#139,0.0394247,0.000297904,-0.01115477,0.0726901,4.420513,0.5935755,0.09178228,13.25205,7.739328,6.865549,27.12313,9,Calibration,NOC
9#140,2.11E-01,0.00110785,0.04279748,0.07420045,4.309638,0.5988982,0.09182888,13.47603,8.458306,7.004354,27.33312,9,Calibration,NOC
9#141,2.43E-01,4.05E-05,0.0263681,0.07186527,3.853142,0.6071184,0.09204986,13.65569,7.803907,7.218232,27.54313,9,Calibration,NOC
9#142,-0.2256594,-1.04E-05,-0.008376748,0.07147003,3.414708,0.6129295,0.09237024,13.91457,7.951771,7.293905,27.75312,9,Calibration,NOC
9#143,-0.2601953,0.000205551,0.01754691,0.0701483,3.012876,0.6172272,0.09142166,13.71458,7.936515,7.44685,27.96313,9,Calibration,NOC
9#144,0.1646158,0.000136308,0.01139884,0.06831403,2.589938,0.6205283,0.09134553,13.436,7.661149,7.496781,28.02612,9,Calibration,NOC
9#145,-0.2697299,0.000942912,0.02759448,0.07058776,2.822806,0.6163162,0.09090216,13.44591,8.022172,7.499778,28.08912,9,Calibration,NOC
9#146,-0.1567224,0.000672947,0.01674961,0.06888951,2.64546,0.6160379,0.0909796,13.45062,7.766077,7.500086,28.15212,9,Calibration,NOC
9#147,0.03213672,-0.00066299,-0.0213492,0.06885514,2.605913,0.6206013,0.08985151,13.56502,7.382129,7.729442,28.21512,9,Calibration,NOC
9#148,0.478132,-0.000472169,-0.02546804,0.06741534,2.171101,0.6146266,0.09072962,13.60328,7.535031,7.681703,28.27813,9,Calibration,NOC
9#149,2.03E-01,0.000187318,-0.002709583,0.06682338,2.200487,0.6212956,0.09093881,13.59471,7.027644,7.686258,28.37713,9,Calibration,NOC
9#150,0.5969014,-6.46E-05,0.01758752,0.06549619,1.792772,0.6295402,0.09018389,13.43696,7.815949,7.787074,28.47614,9,Calibration,NOC
9#151,0.3086642,0.0004545,0.02594724,0.06307343,1.899533,0.630784,0.08959319,13.14507,7.414322,7.798137,28.57514,9,Calibration,NOC
9#152,0.1068157,-0.001061834,0.02161294,0.06199994,1.561809,0.6339316,0.08901717,12.91581,7.648464,7.956503,28.67415,9,Calibration,NOC
9#153,-0.615573,-0.001081149,-0.01243517,0.05691957,1.226938,0.6388571,0.08796617,12.49747,7.426582,8.082191,28.8508,9,Calibration,NOC
9#154,-0.1245372,-0.000425296,-0.005559998,0.05406935,1.305647,0.6402864,0.08790748,12.04923,7.225614,8.158743,28.9038,9,Calibration,NOC
9#155,-0.204761,-0.000525585,0.02115109,0.05027759,1.095858,0.6475282,0.08800936,11.58035,7.122007,8.075893,28.95679,9,Calibration,NOC
9#156,0.6599628,-0.000334629,-0.04300148,0.04961432,0.7656313,0.6406676,0.08718883,11.2429,6.138877,8.245427,29.00979,9,Calibration,NOC
9#157,0.1847988,0.000452179,-0.04382568,0.04561106,0.96533,0.6440212,0.08665401,10.88635,6.43733,8.221219,29.06279,9,Calibration,NOC
9#158,0.8148581,-0.000339697,0.02475627,0.04247119,0.5894466,0.6443729,0.08652858,10.44193,5.635656,8.284413,29.11578,9,Calibration,NOC
9#159,-0.1358356,0.000659238,0.02360245,0.03293342,0.2496508,0.6448053,0.08714106,8.495694,5.635157,8.252287,29.27167,9,Calibration,NOC
9#160,1.34E-01,-0.000171699,0.01008388,0.02985567,0.51688,0.6480691,0.08564103,8.042529,4.41751,8.352466,29.31844,9,Calibration,NOC
9#161,0.1200597,-8.91E-05,0.001580608,0.02792246,0.5992196,0.6490026,0.08510833,7.631675,5.125644,8.383072,29.33247,9,Calibration,NOC
9#162,-3.77E-01,-0.000619911,-0.004217162,0.02600647,-0.01390371,0.646414,0.08613601,7.594222,4.342626,8.409927,29.3465,9,Calibration,NOC
9#163,0.3685868,2.14E-05,-0.003016708,0.02682005,0.30184,0.6492982,0.08580878,7.370967,4.262835,8.293033,29.36053,9,Calibration,NOC
9#164,-0.8989784,0.000486484,-0.02578018,0.02604278,0.3550827,0.6512066,0.08508397,7.130332,4.099913,8.408005,29.37456,9,Calibration,NOC
9#165,-1.18E-01,-0.000559878,0.02933426,0.02393008,0.08642553,0.6461355,0.08537236,6.732814,4.799088,8.387547,29.40244,9,Calibration,NOC
9#166,-0.2223959,8.30E-05,0.02284469,0.02191129,0.3327754,0.6525145,0.08558388,6.36114,3.912542,8.303896,29.43032,9,Calibration,NOC
